year,month,week,ymw,date,topic,z_1,N
1945,6,26,1945-6-26,1945-06-27,0,65,81179
1945,6,26,1945-6-26,1945-06-28,0,74,76669
1945,6,26,1945-6-26,1945-06-29,0,63,79178
1945,6,26,1945-6-26,1945-06-30,0,70,86092
1945,7,26,1945-7-26,1945-07-01,0,53,78178
1945,7,27,1945-7-27,1945-07-02,0,65,81667
1945,7,27,1945-7-27,1945-07-03,0,88,78288
1945,7,27,1945-7-27,1945-07-04,0,68,81168
1945,7,27,1945-7-27,1945-07-05,0,61,78356
1945,7,27,1945-7-27,1945-07-06,0,60,83707
1945,7,27,1945-7-27,1945-07-07,0,57,75200
1945,7,27,1945-7-27,1945-07-08,0,71,79841
1945,7,28,1945-7-28,1945-07-09,0,43,72778
1945,7,28,1945-7-28,1945-07-10,0,47,78096
1945,7,28,1945-7-28,1945-07-11,0,44,81073
1945,7,28,1945-7-28,1945-07-12,0,51,78655
1945,7,28,1945-7-28,1945-07-13,0,71,82628
1945,7,28,1945-7-28,1945-07-14,0,59,74266
1945,7,28,1945-7-28,1945-07-15,0,44,72653
1945,7,29,1945-7-29,1945-07-16,0,66,73075
1945,7,29,1945-7-29,1945-07-17,0,44,83694
1945,7,29,1945-7-29,1945-07-18,0,45,82846
1945,7,29,1945-7-29,1945-07-19,0,58,77019
1945,7,29,1945-7-29,1945-07-20,0,66,78260
1945,7,29,1945-7-29,1945-07-21,0,53,80204
1945,7,29,1945-7-29,1945-07-22,0,50,75642
1945,7,30,1945-7-30,1945-07-23,0,46,77404
1945,7,30,1945-7-30,1945-07-24,0,49,81824
1945,7,30,1945-7-30,1945-07-25,0,50,80155
1945,7,30,1945-7-30,1945-07-26,0,68,77154
1945,7,30,1945-7-30,1945-07-27,0,55,84120
1945,7,30,1945-7-30,1945-07-28,0,75,80094
1945,7,30,1945-7-30,1945-07-29,0,67,77756
1945,7,31,1945-7-31,1945-07-30,0,37,81927
1945,7,31,1945-7-31,1945-07-31,0,41,79338
1945,8,31,1945-8-31,1945-08-01,0,52,80875
1945,8,31,1945-8-31,1945-08-02,0,59,83098
1945,8,31,1945-8-31,1945-08-03,0,80,80704
1945,8,31,1945-8-31,1945-08-04,0,42,73599
1945,8,31,1945-8-31,1945-08-05,0,37,78619
1945,8,32,1945-8-32,1945-08-06,0,42,79787
1945,8,32,1945-8-32,1945-08-07,0,48,79522
1945,8,32,1945-8-32,1945-08-08,0,44,80359
1945,8,32,1945-8-32,1945-08-09,0,47,80454
1945,8,32,1945-8-32,1945-08-10,0,36,74887
1945,8,32,1945-8-32,1945-08-11,0,57,74533
1945,8,32,1945-8-32,1945-08-12,0,45,73451
1945,8,33,1945-8-33,1945-08-13,0,29,77783
1945,8,33,1945-8-33,1945-08-14,0,42,72582
1945,8,33,1945-8-33,1945-08-15,0,85,72927
1945,8,33,1945-8-33,1945-08-16,0,51,72743
1945,8,33,1945-8-33,1945-08-17,0,57,80843
1945,8,33,1945-8-33,1945-08-18,0,104,76881
1945,8,33,1945-8-33,1945-08-19,0,70,79194
1945,8,34,1945-8-34,1945-08-20,0,42,65794
1945,8,34,1945-8-34,1945-08-21,0,62,78528
1945,8,34,1945-8-34,1945-08-22,0,88,75943
1945,8,34,1945-8-34,1945-08-23,0,76,78915
1945,8,34,1945-8-34,1945-08-24,0,42,73611
1945,8,34,1945-8-34,1945-08-25,0,51,78013
1945,8,34,1945-8-34,1945-08-26,0,72,72047
1945,8,35,1945-8-35,1945-08-27,0,52,69948
1945,8,35,1945-8-35,1945-08-28,0,56,73100
1945,8,35,1945-8-35,1945-08-29,0,70,73331
1945,8,35,1945-8-35,1945-08-30,0,56,72777
1945,8,35,1945-8-35,1945-08-31,0,62,74954
1945,9,35,1945-9-35,1945-09-01,0,41,78398
1945,9,35,1945-9-35,1945-09-02,0,34,65887
1945,9,36,1945-9-36,1945-09-03,0,94,72256
1945,9,36,1945-9-36,1945-09-04,0,54,74289
1945,9,36,1945-9-36,1945-09-05,0,46,81249
1945,9,36,1945-9-36,1945-09-06,0,53,76864
1945,9,36,1945-9-36,1945-09-07,0,50,73532
1945,9,36,1945-9-36,1945-09-08,0,36,80490
1945,9,36,1945-9-36,1945-09-09,0,42,74009
1945,9,37,1945-9-37,1945-09-10,0,38,70311
1945,9,37,1945-9-37,1945-09-11,0,32,73004
1945,9,37,1945-9-37,1945-09-12,0,40,76717
1945,9,37,1945-9-37,1945-09-13,0,51,78988
1945,9,37,1945-9-37,1945-09-14,0,55,77195
1945,9,37,1945-9-37,1945-09-15,0,60,84972
1945,9,37,1945-9-37,1945-09-16,0,27,70180
1945,9,38,1945-9-38,1945-09-17,0,54,72601
1945,9,38,1945-9-38,1945-09-18,0,40,77157
1945,9,38,1945-9-38,1945-09-19,0,44,83980
1945,9,38,1945-9-38,1945-09-20,0,34,87283
1945,9,38,1945-9-38,1945-09-21,0,69,82396
1945,9,38,1945-9-38,1945-09-22,0,42,74597
1945,9,38,1945-9-38,1945-09-23,0,55,72745
1945,9,39,1945-9-39,1945-09-24,0,41,79127
1945,9,39,1945-9-39,1945-09-25,0,42,79441
1945,9,39,1945-9-39,1945-09-26,0,74,84527
1945,9,39,1945-9-39,1945-09-27,0,34,79785
1945,9,39,1945-9-39,1945-09-28,0,32,79635
1945,9,39,1945-9-39,1945-09-29,0,45,82394
1945,9,39,1945-9-39,1945-09-30,0,53,68260
1945,10,40,1945-10-40,1945-10-01,0,68,68794
1945,10,40,1945-10-40,1945-10-02,0,27,72099
1945,10,40,1945-10-40,1945-10-03,0,43,71714
1945,10,40,1945-10-40,1945-10-04,0,57,68283
1945,10,40,1945-10-40,1945-10-05,0,62,73872
1945,10,40,1945-10-40,1945-10-06,0,87,81269
1945,10,40,1945-10-40,1945-10-07,0,56,84412
1945,10,41,1945-10-41,1945-10-08,0,53,70369
1945,10,41,1945-10-41,1945-10-09,0,43,72585
1945,10,41,1945-10-41,1945-10-10,0,24,76069
1945,10,41,1945-10-41,1945-10-11,0,74,75270
1945,10,41,1945-10-41,1945-10-12,0,33,74892
1945,10,41,1945-10-41,1945-10-13,0,80,81463
1945,10,41,1945-10-41,1945-10-14,0,57,71393
1945,10,42,1945-10-42,1945-10-15,0,76,68364
1945,10,42,1945-10-42,1945-10-16,0,33,73254
1945,10,42,1945-10-42,1945-10-17,0,42,76914
1945,10,42,1945-10-42,1945-10-18,0,48,72875
1945,10,42,1945-10-42,1945-10-19,0,41,70809
1945,10,42,1945-10-42,1945-10-20,0,67,73164
1945,10,42,1945-10-42,1945-10-21,0,55,76319
1945,10,43,1945-10-43,1945-10-22,0,54,80543
1945,10,43,1945-10-43,1945-10-23,0,50,76872
1945,10,43,1945-10-43,1945-10-24,0,59,76372
1945,10,43,1945-10-43,1945-10-25,0,47,79566
1945,10,43,1945-10-43,1945-10-26,0,31,70627
1945,10,43,1945-10-43,1945-10-27,0,51,77949
1945,10,43,1945-10-43,1945-10-28,0,47,78954
1945,10,44,1945-10-44,1945-10-29,0,27,73004
1945,10,44,1945-10-44,1945-10-30,0,27,77795
1945,10,44,1945-10-44,1945-10-31,0,39,72887
1945,11,44,1945-11-44,1945-11-01,0,41,79246
1945,11,44,1945-11-44,1945-11-02,0,45,80409
1945,11,44,1945-11-44,1945-11-03,0,22,77340
1945,11,44,1945-11-44,1945-11-04,0,36,74841
1945,11,45,1945-11-45,1945-11-05,0,41,70902
1945,11,45,1945-11-45,1945-11-06,0,60,77210
1945,11,45,1945-11-45,1945-11-07,0,37,76749
1945,11,45,1945-11-45,1945-11-08,0,51,77827
1945,11,45,1945-11-45,1945-11-09,0,33,71258
1945,11,45,1945-11-45,1945-11-10,0,27,80526
1945,11,45,1945-11-45,1945-11-11,0,31,72397
1945,11,46,1945-11-46,1945-11-12,0,42,76777
1945,11,46,1945-11-46,1945-11-13,0,27,72586
1945,11,46,1945-11-46,1945-11-14,0,48,76588
1945,11,46,1945-11-46,1945-11-15,0,55,79583
1945,11,46,1945-11-46,1945-11-16,0,47,87490
1945,11,46,1945-11-46,1945-11-17,0,35,84410
1945,11,46,1945-11-46,1945-11-18,0,33,85569
1945,11,47,1945-11-47,1945-11-19,0,47,70677
1945,11,47,1945-11-47,1945-11-20,0,35,76568
1945,11,47,1945-11-47,1945-11-21,0,104,79525
1945,11,47,1945-11-47,1945-11-22,0,53,80508
1945,11,47,1945-11-47,1945-11-23,0,60,73925
1945,11,47,1945-11-47,1945-11-24,0,114,82437
1945,11,47,1945-11-47,1945-11-25,0,111,89195
1945,11,48,1945-11-48,1945-11-26,0,93,77953
1945,11,48,1945-11-48,1945-11-27,0,151,74664
1945,11,48,1945-11-48,1945-11-28,0,92,73126
1945,11,48,1945-11-48,1945-11-29,0,88,79909
1945,11,48,1945-11-48,1945-11-30,0,68,79762
1945,12,48,1945-12-48,1945-12-01,0,63,81184
1945,12,48,1945-12-48,1945-12-02,0,71,63198
1945,12,49,1945-12-49,1945-12-03,0,49,78428
1945,12,49,1945-12-49,1945-12-04,0,43,76643
